WELL_ID,DEPT,DPHI,GRD,ILD
49025097080000_490513,343.5,0.1284,102.4936,6.747
49025097080000_490513,344.0,0.1389,107.197,6.7487
49025097080000_490513,344.5,0.14,107.8743,6.8237
49025097080000_490513,345.0,0.1305,103.8616,6.8995
49025097080000_490513,345.5,0.1353,103.6448,7.0504
49025097080000_490513,346.0,0.1336,107.6798,7.1262
49025097080000_490513,346.5,0.1248,109.03,7.277
49025097080000_490513,347.0,0.1101,109.0389,7.4281
49025097080000_490513,347.5,0.1184,108.1536,7.5789
49025097080000_490513,348.0,0.1217,106.8212,7.6547
49025097080000_490513,348.5,0.1115,98.5589,7.8056
